Gender,Age,12th marks %,rural/ urban area,Were you prepared to take this course based on prior coursework?,Average Weekly Time Spent,Average Course Outcome Level,Average Effort in Course Outcomes,Average Satisfaction,Stratergies,Average Marks Given,Low mark reason,Faculty Concern,Outside help,Your overall feedback
0,3,42,0,0,2.0,5.25,5.5,1.5,3.0,2.75,1.0,0.0,0.0,0
1,2,48,1,1,0.0,2.75,8.5,0.0,3.75,2.25,1.0,0.0,0.0,0
1,4,19,1,1,2.25,4.25,5.0,1.25,2.5,2.25,1.0,0.75,0.75,1
0,3,74,1,1,2.0,5.75,0.0,0.0,3.75,2.25,1.0,1.0,1.0,0
1,4,65,0,1,0.5,3.25,3.75,0.0,2.25,1.25,0.0,1.0,1.0,0
1,2,38,1,0,3.0,4.75,8.0,0.0,3.75,3.25,1.0,1.0,0.0,0
0,0,46,1,1,2.25,4.75,1.0,0.0,3.75,2.25,3.0,1.0,1.0,0
0,2,16,1,1,1.0,5.25,2.0,2.5,2.75,1.25,3.0,1.0,0.0,1
1,2,3,1,1,0.25,4.5,6.5,0.75,3.5,2.75,1.0,0.5,1.0,1
0,2,91,1,1,3.0,5.5,10.5,0.75,3.75,2.5,1.0,1.0,1.0,0
0,2,64,1,1,1.5,4.25,7.75,0.0,3.75,3.25,1.0,1.0,1.0,0
0,2,54,1,1,1.5,5.25,7.0,1.5,3.75,3.25,1.0,0.0,0.0,0
1,2,84,1,1,0.0,5.75,0.0,2.0,3.75,2.25,3.0,0.0,0.0,0
1,2,23,1,1,7.5,5.75,4.0,0.0,3.75,2.25,1.0,1.0,1.0,0
1,3,0,1,1,1.0,4.75,9.0,2.0,3.75,1.25,3.0,1.0,0.0,1
1,3,10,1,1,2.25,5.75,8.25,0.25,3.75,3.0,1.0,0.0,0.0,0
0,2,64,1,1,1.25,4.0,6.5,0.0,2.25,3.0,2.25,0.5,0.5,1
1,3,34,1,1,1.25,5.0,6.75,2.0,3.0,1.5,0.75,0.75,1.0,1
1,3,19,1,0,2.0,2.75,8.25,3.5,2.25,2.0,0.5,1.0,1.0,1
0,2,83,0,1,4.0,5.75,9.0,2.0,3.75,2.25,3.0,1.0,0.0,0
1,2,48,1,1,2.0,5.75,8.0,0.0,3.75,2.25,1.0,0.0,0.0,0
0,3,23,1,1,2.5,4.75,8.0,3.0,3.25,1.25,1.0,0.0,1.0,0
1,2,6,1,1,0.75,4.25,3.75,0.5,3.75,2.25,1.5,1.0,0.0,1
1,2,24,1,1,1.0,2.75,0.0,0.0,2.75,2.25,3.0,1.0,1.0,0
1,2,53,1,0,2.0,4.75,7.0,1.0,3.75,3.25,3.0,1.0,0.0,0
1,3,19,1,0,3.0,3.25,6.0,2.5,2.25,2.25,0.0,1.0,1.0,1
1,2,7,1,0,0.75,5.75,8.0,0.5,3.75,2.5,1.0,1.0,0.0,0
0,2,4,1,0,2.0,4.75,10.5,1.0,2.75,1.25,3.0,1.0,0.0,0
0,2,64,1,1,2.0,4.75,2.0,0.0,3.75,2.25,1.0,0.0,0.0,0
1,2,19,1,1,2.0,5.75,5.0,1.0,3.75,2.25,1.0,1.0,1.0,3
0,3,64,1,1,1.0,4.75,8.0,0.0,3.75,2.25,1.0,1.0,0.0,2
0,1,16,1,1,1.0,5.75,0.0,0.0,3.75,3.25,1.0,0.0,0.0,0
0,2,77,1,0,1.0,1.0,6.25,2.0,2.25,1.0,3.0,1.0,0.0,1
0,6,33,1,0,3.5,4.75,8.0,0.75,3.0,1.25,1.0,0.25,0.0,1
1,3,60,1,1,5.0,5.75,7.0,0.0,3.75,2.25,1.0,0.0,0.0,0
1,4,12,0,1,4.0,4.75,4.0,1.0,2.75,2.25,3.0,1.0,1.0,0
0,2,72,1,0,0.75,4.5,1.0,1.5,1.75,2.25,1.0,0.0,0.0,1
0,2,90,1,1,0.0,4.75,7.5,1.75,2.75,2.0,1.0,1.0,0.25,0
1,2,21,1,1,1.0,5.75,9.0,2.0,3.75,3.25,1.0,0.0,0.0,0
1,3,23,0,0,1.0,5.75,7.0,2.0,3.75,3.0,3.0,1.0,1.0,0
1,2,44,1,0,1.0,4.75,0.0,1.0,2.75,2.25,1.0,1.0,1.0,0
0,3,19,0,1,4.5,4.75,5.5,2.0,3.25,2.25,3.0,0.0,0.0,0
1,2,34,1,1,3.0,5.75,7.25,2.0,2.75,2.25,1.0,0.0,0.0,0
1,2,19,1,1,1.75,5.75,0.0,0.0,3.75,3.25,1.0,0.0,0.0,0
0,2,40,1,1,2.5,4.75,5.75,0.75,3.75,3.25,1.0,1.0,1.0,0
1,2,48,1,1,1.0,5.75,7.0,0.0,3.75,2.25,1.0,0.0,0.0,0
0,2,67,1,1,3.0,5.5,7.0,2.0,3.75,3.25,0.0,0.0,0.0,0
0,2,88,1,1,2.0,5.75,8.0,0.0,3.75,2.25,1.0,0.0,0.0,1
1,2,34,1,1,4.25,5.75,7.0,0.0,3.75,3.25,1.0,0.0,0.0,0
1,2,38,1,0,2.0,2.75,8.0,3.0,1.75,2.25,1.0,0.0,0.0,1
0,2,86,1,0,1.0,5.75,7.0,0.0,3.75,2.25,1.0,0.0,0.0,0
1,1,14,0,1,2.0,5.5,7.0,2.0,3.75,2.25,1.0,1.0,0.0,0
0,2,57,1,1,0.5,5.5,7.25,0.0,3.75,3.25,1.0,1.0,1.0,0
0,2,78,1,1,2.0,5.75,7.0,2.25,3.5,3.0,1.0,0.25,0.25,0
1,3,62,0,1,2.0,4.75,1.0,1.0,3.75,2.25,3.0,0.25,0.0,1
1,2,34,1,0,0.75,2.0,7.0,3.0,2.0,0.25,3.0,1.0,0.0,1
0,2,4,1,0,2.75,1.25,7.5,1.5,1.75,1.25,2.25,1.0,0.0,1
1,3,27,1,0,4.0,5.75,5.0,2.0,2.75,3.25,3.0,1.0,1.0,0
